USPS,GEOID,ANSICODE,NAME,INTPTLAT,INTPTLONG                                                                                                               
TX,48335,1383953,Mitchell County,32.304117,-100.924392
TX,48337,1383954,Montague County,33.678356,-97.725014
TX,48339,1383955,Montgomery County,30.300611,-95.494719
TX,48341,1383956,Moore County,35.835676,-101.890502
TX,48343,1383957,Morris County,33.116466,-94.731265
TX,48345,1383958,Motley County,34.057899,-100.793152
TX,48347,1383959,Nacogdoches County,31.62056,-94.62025
TX,48349,1383960,Navarro County,32.048448,-96.476909
TX,48351,1383961,Newton County,30.786718,-93.73925
TX,48353,1383962,Nolan County,32.312338,-100.418108
TX,48355,1383963,Nueces County,27.738737,-97.51866
TX,48357,1383964,Ochiltree County,36.278744,-100.815864
TX,48359,1383965,Oldham County,35.401921,-102.59762
TX,48361,1383966,Orange County,30.122323,-93.8941
TX,48363,1383967,Palo Pinto County,32.752204,-98.317967
TX,48365,1383968,Panola County,32.163978,-94.305156
TX,48367,1383969,Parker County,32.777096,-97.805905
TX,48369,1383970,Parmer County,34.532163,-102.784853
TX,48371,1383971,Pecos County,30.770894,-102.71986
TX,48373,1383972,Polk County,30.784553,-94.837338
TX,48375,1383973,Potter County,35.398675,-101.893804
TX,48377,1383974,Presidio County,30.005891,-104.261619
TX,48379,1383975,Rains County,32.87058,-95.79544
TX,48381,1383976,Randall County,34.962529,-101.895547
TX,48383,1383977,Reagan County,31.375191,-101.514395
TX,48385,1383978,Real County,29.830097,-99.812549
TX,48387,1383979,Red River County,33.619625,-95.048429
TX,48389,1383980,Reeves County,31.308366,-103.712706
TX,48391,1383981,Refugio County,28.312716,-97.161366
TX,48393,1383982,Roberts County,35.836216,-100.807555
TX,48395,1383983,Robertson County,31.025481,-96.514941
TX,48397,1383984,Rockwall County,32.898677,-96.404402
TX,48399,1383985,Runnels County,31.845112,-99.982715
TX,48401,1383986,Rusk County,32.109423,-94.756382
TX,48403,1383987,Sabine County,31.3433,-93.851913
TX,48405,1383988,San Augustine County,31.382449,-94.16318
TX,48407,1383989,San Jacinto County,30.574388,-95.163136
TX,48409,1383990,San Patricio County,28.011794,-97.517157
TX,48411,1383991,San Saba County,31.155138,-98.819292
TX,48413,1383992,Schleicher County,30.896233,-100.527216
TX,48415,1383993,Scurry County,32.744353,-100.913346
TX,48417,1383994,Shackelford County,32.74382,-99.347005
TX,48419,1383995,Shelby County,31.790139,-94.142579
TX,48421,1383996,Sherman County,36.278593,-101.899265
TX,48423,1383997,Smith County,32.375106,-95.268743
TX,48425,1383998,Somervell County,32.218071,-97.769217
TX,48427,1383999,Starr County,26.530903,-98.740235
TX,48429,1384000,Stephens County,32.736306,-98.836119
TX,48431,1384001,Sterling County,31.835773,-101.054911
TX,48433,1384002,Stonewall County,33.17958,-100.253807
TX,48435,1384003,Sutton County,30.51768,-100.50527
TX,48437,1384004,Swisher County,34.526319,-101.743862
TX,48439,1384005,Tarrant County,32.772119,-97.291224
TX,48441,1384006,Taylor County,32.297327,-99.890179
TX,48443,1384007,Terrell County,30.232343,-102.072513
TX,48445,1384008,Terry County,33.171229,-102.339284
TX,48447,1384009,Throckmorton County,33.170695,-99.205796
TX,48449,1384010,Titus County,33.214599,-94.966783
TX,48451,1384011,Tom Green County,31.398823,-100.463788
TX,48453,1384012,Travis County,30.239513,-97.69127
TX,48455,1384013,Trinity County,31.096675,-95.151687
TX,48457,1384014,Tyler County,30.769295,-94.375656
TX,48459,1384015,Upshur County,32.735349,-94.941184
TX,48461,1384016,Upton County,31.353816,-102.041546
TX,48463,1384017,Uvalde County,29.350308,-99.768427
TX,48465,1384018,Val Verde County,29.875285,-101.143324
TX,48467,1384019,Van Zandt County,32.558787,-95.836906
TX,48469,1384020,Victoria County,28.79637,-96.971198
TX,48471,1384021,Walker County,30.743163,-95.569825
TX,48473,1384022,Waller County,30.013578,-95.982102
TX,48475,1384023,Ward County,31.513069,-103.105113
TX,48477,1384024,Washington County,30.215075,-96.410272
TX,48479,1384025,Webb County,27.760799,-99.340752
TX,48481,1384026,Wharton County,29.27848,-96.229674
TX,48483,1384027,Wheeler County,35.392593,-100.253107
TX,48485,1384028,Wichita County,33.991103,-98.716851
TX,48487,1384029,Wilbarger County,34.08492,-99.24244
TX,48489,1384030,Willacy County,26.480381,-97.583256
TX,48491,1384031,Williamson County,30.64903,-97.605069
TX,48493,1384032,Wilson County,29.173883,-98.086734
TX,48495,1384033,Winkler County,31.831415,-103.055986
TX,48497,1384034,Wise County,33.219095,-97.653997
TX,48499,1384035,Wood County,32.783588,-95.382166
TX,48501,1384036,Yoakum County,33.162398,-102.832242
TX,48503,1384037,Young County,33.158788,-98.678281
TX,48505,1384038,Zapata County,26.996981,-99.182603
TX,48507,1384039,Zavala County,28.864652,-99.75983
